Date,spy
2001-01-02,83.23979187011719
2001-01-03,87.2381820678711
2001-01-04,86.2991714477539
2001-01-05,83.48212432861328
2001-01-08,84.12833404541016
2001-01-09,83.90620422363281
2001-01-10,85.38031005859375
2001-01-11,85.46112823486328
2001-01-12,85.2995834350586
2001-01-16,85.84480285644531
2001-01-17,86.23857879638672
2001-01-18,87.09684753417969
2001-01-19,86.6020736694336
2001-01-22,87.1776351928711
2001-01-23,87.86421203613281
2001-01-24,88.126708984375
2001-01-25,87.90458679199219
2001-01-26,87.80364990234375
2001-01-29,88.27214813232422
2001-01-30,89.04759216308594
2001-01-31,88.54351806640625
2001-02-01,89.1316146850586
2001-02-02,87.10899353027344
2001-02-05,87.74871063232422
2001-02-06,87.49021911621094
2001-02-07,87.03787994384766
2001-02-08,86.02330017089844
2001-02-09,85.19617462158203
2001-02-12,86.17196655273438
2001-02-13,85.46758270263672
2001-02-14,85.33832550048828
2001-02-15,86.16549682617188
2001-02-16,84.26563262939453
2001-02-20,82.9667739868164
2001-02-21,81.17676544189453
2001-02-22,81.29954528808594
2001-02-23,80.75025939941406
2001-02-26,82.46915435791016
2001-02-27,81.7066650390625
2001-02-28,80.09759521484375
2001-03-01,80.51763153076172
2001-03-02,79.8778305053711
2001-03-05,80.60811614990234
2001-03-06,81.4740219116211
2001-03-07,82.05561828613281
2001-03-08,82.14606475830078
2001-03-09,79.71632385253906
2001-03-12,76.30436706542969
2001-03-13,77.5580062866211
2001-03-14,76.0264892578125
2001-03-15,76.04586791992188
2001-03-16,74.52059936523438
2001-03-19,76.03678894042969
2001-03-20,73.99571990966797
2001-03-21,72.73873901367188
2001-03-22,72.00005340576172
2001-03-23,74.17719268798828
2001-03-26,75.12317657470703
2001-03-27,76.65882873535156
2001-03-28,74.5400390625
2001-03-29,74.8250961303711
2001-03-30,75.6091537475586
2001-04-02,73.99571990966797
2001-04-03,71.5270767211914
2001-04-04,71.82511138916016
2001-04-05,74.54647827148438
2001-04-06,73.41260528564453
2001-04-09,74.22900390625
2001-04-10,75.58320617675781
2001-04-11,75.63504791259766
2001-04-12,77.00871276855469
2001-04-16,76.19880676269531
2001-04-17,77.27433776855469
2001-04-18,80.34566497802734
2001-04-19,81.41477966308594
2001-04-20,80.66960144042969
2001-04-23,79.20527648925781
2001-04-24,78.77766418457031
2001-04-25,79.80787658691406
2001-04-26,80.16419982910156
2001-04-27,81.49903106689453
2001-04-30,82.06919860839844
2001-05-01,82.32190704345703
2001-05-02,82.17289733886719
2001-05-03,81.12967681884766
2001-05-04,82.50981903076172
2001-05-07,81.79707336425781
2001-05-08,81.75822448730469
2001-05-09,81.41477966308594
2001-05-10,81.65451049804688
2001-05-11,81.09076690673828
2001-05-14,81.2528076171875
2001-05-15,81.62857818603516
2001-05-16,83.55298614501953
2001-05-17,83.68258666992188
2001-05-18,84.06488037109375
2001-05-21,85.30245971679688
2001-05-22,85.19229125976562
2001-05-23,83.74736785888672
2001-05-24,83.99358367919922
2001-05-25,83.00221252441406
2001-05-29,82.3413314819336
2001-05-30,81.18800354003906
2001-05-31,81.60912322998047
2001-06-01,82.11454010009766
2001-06-04,82.50981903076172
2001-06-05,83.45580291748047
2001-06-06,82.76245880126953
2001-06-07,83.06056213378906
2001-06-08,82.28952026367188
2001-06-11,81.7063217163086
2001-06-12,81.56378173828125
2001-06-13,80.86398315429688
2001-06-14,79.04975128173828
2001-06-15,79.1771240234375
2001-06-18,78.79373931884766
2001-06-19,79.13810729980469
2001-06-20,79.55398559570312
2001-06-21,80.45719909667969
2001-06-22,79.82688903808594
2001-06-25,79.0926284790039
2001-06-26,78.98213958740234
2001-06-27,78.93671417236328
2001-06-28,79.37206268310547
2001-06-29,79.66442108154297
2001-07-02,80.65867614746094
2001-07-03,80.63914489746094
2001-07-05,79.06664276123047
2001-07-06,77.35771942138672
2001-07-09,77.7800521850586
2001-07-10,76.84435272216797
2001-07-11,76.9223403930664
2001-07-12,78.74826049804688
2001-07-13,79.43054962158203
2001-07-16,78.43634033203125
2001-07-17,79.17060852050781
2001-07-18,78.63129425048828
2001-07-19,79.32009887695312
2001-07-20,78.84569549560547
2001-07-23,77.29271697998047
2001-07-24,76.54547882080078
2001-07-25,77.39022064208984
2001-07-26,78.20238494873047
2001-07-27,78.50133514404297
2001-07-30,78.52733612060547
2001-07-31,78.85222625732422
2001-08-01,79.3460464477539
2001-08-02,79.67098999023438
2001-08-03,79.23558044433594
2001-08-06,78.1699447631836
2001-08-07,78.47533416748047
2001-08-08,77.01981353759766
2001-08-09,77.24723815917969
2001-08-10,77.51366424560547
2001-08-13,77.53314208984375
2001-08-14,77.50065612792969
2001-08-15,76.83135986328125
2001-08-16,77.09777069091797
2001-08-17,75.8631362915039
2001-08-20,76.5649642944336
2001-08-21,75.2588882446289
2001-08-22,76.0385971069336
2001-08-23,75.76570129394531
2001-08-24,77.33818054199219
2001-08-27,76.8768539428711
2001-08-28,75.7527084350586
2001-08-29,75.07695007324219
2001-08-30,73.63436889648438
2001-08-31,74.1737289428711
2001-09-04,73.6993637084961
2001-09-05,73.88129425048828
2001-09-06,71.97740173339844
2001-09-07,70.64533996582031
2001-09-10,71.50958251953125
2001-09-17,67.77326202392578
2001-09-18,67.61083221435547
2001-09-19,66.24624633789062
2001-09-20,64.14093017578125
2001-09-21,63.44889450073242
2001-09-24,65.67955780029297
2001-09-25,66.36438751220703
2001-09-26,66.12955474853516
2001-09-27,66.70354461669922
2001-09-28,68.11885833740234
2001-10-01,68.00802612304688
2001-10-02,68.86243438720703
